"","25mm","75mm","80mm","100mm","125mm","135mm","150mm","175mm","200mm","macro","micro"
"RLR_ROC",0.999903540079097,0.917828571428571,0.988983050847458,0.762110439231843,0.882260933458949,0.993170068027211,0.92645173108628,0.995672731294586,0.99995476177551,0.940639684127025,0.963256003847832
"GLM_ROC",1,0.923121632653061,0.975593220338983,0.784135712228941,0.877208425938388,0.99512925170068,0.908761416271949,0.99375794945529,0.999855237681631,0.93966630884734,0.963939441393273
"LDA_ROC",0.99729912221472,0.895565714285714,0.972440677966102,0.781948412962102,0.883146668218673,0.974612244897959,0.92815272289535,0.981916717358845,0.999819047102039,0.934948219117538,0.950774599836691
"SDA_ROC",0.997250892254268,0.895082448979592,0.972440677966102,0.781915188163112,0.88334855026863,0.974639455782313,0.92815272289535,0.977976552563181,0.999819047102039,0.934471740883501,0.950597700249438
"MLP_ROC",0.999228320632777,0.91405387755102,0.898542372881356,0.837464283341086,0.931818429830528,0.728054421768707,0.88626907073509,0.882907979870597,0.999981904710204,0.897538340692511,0.951638236708762
"MLP.WD_ROC",0.470917333847786,0.502710204081633,0.529186440677966,0.490458945223381,0.536835289709836,0.413605442176871,0.340433883756837,0.514115467566222,0.185974340879069,0.442692937615666,0.672572790013535
"MLP.D_ROC",0.2474679270763,0.49006693877551,0.389491525423729,0.455918997940062,0.415007656967841,0.387020408163265,0.378012718184911,0.7891389703036,0.914590232162568,0.49630176919324,0.816907696781915
"SVM.L_ROC",0.999903540079097,0.795859591836735,0.945152542372881,0.774780162580016,0.89934451990266,0.991673469387755,0.806924345118153,0.978370569042747,0.98735139243255,0.908776577150093,0.908651357367367
"SVM.P_ROC",1,0.779010612244898,0.964,0.836417702172902,0.933968200848996,0.989877551020408,0.798563316148955,0.985801581595974,0.949369379150607,0.915195970161132,0.906522633975011
"SVM.R_ROC",0.989919938265651,0.83598693877551,0.988237288135593,0.890468912663078,0.956242520360987,0.995619047619048,0.75742548347421,0.992810927390367,0.942818884244431,0.927690730826086,0.921849531884431
"CART_ROC",0.792032410533423,0.791484081632653,0.818949152542373,0.800521075597493,0.861532557572759,0.840517006802721,0.814068510716248,0.964808107061881,0.998190471020393,0.853551148812458,0.941320119461751
"C5_ROC",0.982251374553873,0.967902040816326,0.917932203389831,0.945932177110328,0.972718641897618,0.99156462585034,0.933949179598566,1,1,0.967947871048996,0.985949094529144
"RF_ROC",0.999951770039549,0.983281632653061,0.988847457627119,0.970418853965934,0.986071957310131,0.999319727891156,0.972587862769215,0.999937786871647,1,0.988819473796084,0.993846041990582
"XGB_ROC",0.999131860711874,0.975911836734694,0.988983050847458,0.962522426739318,0.980319228264942,0.999074829931973,0.979012377986549,0.9995921583808,1,0.987064498856737,0.992032080178074
"RLR_PR",0.989769754055468,0.70166037743029,0.627432118654587,0.499791451006704,0.822398491960828,0.802232449037475,0.459512658737608,0.96413418144946,0.999205315835501,0.757474186951816,0.771725799762422
"GLM_PR",1,0.712607588283887,0.264267038140663,0.506820819048157,0.811031019578069,0.851712018373025,0.331715956484903,0.953562735231388,0.997525685301059,0.707800640388053,0.775506484917066
"LDA_PR",0.694725934049242,0.586339396092973,0.262100549536808,0.448383126156006,0.841154581159583,0.397337508133989,0.490178804472484,0.88773316866353,0.996876591484685,0.617541046233962,0.750832800655167
"SDA_PR",0.726941152448671,0.585635472408867,0.262100549536808,0.448311353202908,0.841238235091976,0.397921200212522,0.489560649959051,0.886797744059951,0.996876591484685,0.620923716653327,0.749440298077557
"MLP_PR",0.957096167379419,0.619962391058688,0.112025179917162,0.590257121770139,0.888055112949884,0.162404772378502,0.291864358332423,0.79607522845194,0.999671241881563,0.597962999981686,0.804304160887645
"MLP.WD_PR",0.0085579664480428,0.230939510612169,0.0157107970741146,0.206920403271231,0.435911714344155,0.013105954985339,0.0276794164493449,0.0638687512140433,0.0304095233713275,0.114647382827569,0.168318421208941
"MLP.D_PR",0.00580198770310344,0.189156326222764,0.0105156319743962,0.211165222144686,0.359459044409371,0.0125500071415785,0.0263013818606493,0.144925174054061,0.267670259284166,0.136069738696182,0.31129396315312
"SVM.L_PR",0.99077380952381,0.425335314687896,0.182461766564924,0.523051289835167,0.855033085999429,0.591807157184318,0.222688224494987,0.845588253052501,0.81416389548883,0.600469149635859,0.627396683977133
"SVM.P_PR",1,0.355059313553997,0.237257917730381,0.735309958620271,0.882776944734635,0.537624415961479,0.115511442703811,0.791125599813585,0.318943237013226,0.54637818737874,0.652901503645262
"SVM.R_PR",0.912579735455394,0.465482199856773,0.497866874461818,0.799499954841063,0.939145631554059,0.742865433656305,0.0842018501411045,0.872089955290667,0.298579312769131,0.619451534326479,0.72104051435398
"CART_PR",0.0220844652742672,0.301501891006786,0.0417568665039164,0.497478268477229,0.82071027193523,0.0527565995608132,0.137765320632957,0.843691919578866,0.933054683734463,0.404933296543807,0.725025004672659
"C5_PR",0.931098926770279,0.872817831471737,0.608193923041602,0.864255809198335,0.954343726729765,0.93537155548548,0.560557107017563,1,1,0.852255895097453,0.928020800185766
"RF_PR",0.995068027210884,0.938899189596258,0.800277015974311,0.918048676632046,0.980937839558609,0.975716126063952,0.717510729803764,0.999230754035787,1,0.918620758509553,0.96326331430548
"XGB_PR",0.959173387096774,0.907565508253341,0.740522719057599,0.88648697077961,0.975004047197304,0.962270378643092,0.703814773251656,0.996508842687268,1,0.898469358077029,0.949940026478067
