"","Slump_class","variable","n","min","max","mean","sd"
"1","25mm","Batch_size",72,1,7,4.899,1.954
"2","25mm","Cement",72,294,2084,1439.403,569.741
"3","25mm","Water",72,137,997,675.986,269.188
"4","25mm","FAG",72,590,4325,2951.958,1184.999
"5","25mm","CAG_10mm",72,555,3950,2738.597,1088.422
"6","25mm","CAG_20mm",72,655,4590,3216.764,1277.603
"7","25mm","PFA",72,100,1025,541.444,252.336
"8","25mm","WRA_KFDN100",72,1300,17800,9648.972,4583.478
"9","25mm","SP1_KFDNSP8G",72,2340,21120,12951.694,5281.473
"10","25mm","SP2_R1002",72,0,0,0,0
"11","75mm","Batch_size",1227,1,10,5.541,2.097
"12","75mm","Cement",1227,164,3306,1481.028,622.754
"13","75mm","Water",1227,132,1546,881.411,333.972
"14","75mm","FAG",1227,650,7760,4193.315,1661.128
"15","75mm","CAG_10mm",1227,420,4465,2633.826,1018.272
"16","75mm","CAG_20mm",1227,510,5435,3180.577,1223.395
"17","75mm","PFA",1227,56,1081,491.484,210.182
"18","75mm","WRA_KFDN100",1227,1020,27940,10953.02,5570.58
"19","75mm","SP1_KFDNSP8G",1227,0,32180,10205.134,6828.765
"20","75mm","SP2_R1002",1227,0,41920,3140.72,8437.531
"21","80mm","Batch_size",104,1,7.4,5.597,1.978
"22","80mm","Cement",104,237,2486,1458.76,532.266
"23","80mm","Water",104,141,1330,920.337,324.928
"24","80mm","FAG",104,765,5820,4242.692,1549.287
"25","80mm","CAG_10mm",104,435,3635,2576.202,956.977
"26","80mm","CAG_20mm",104,525,4300,3128.846,1144.752
"27","80mm","PFA",104,76,1340,615.019,311.747
"28","80mm","WRA_KFDN100",104,1800,31020,13031.058,6664.975
"29","80mm","SP1_KFDNSP8G",104,1180,13200,7576.442,2844.226
"30","80mm","SP2_R1002",104,0,0,0,0
"31","100mm","Batch_size",1519,1,9,6.013,1.716
"32","100mm","Cement",1519,221,2982,1739.906,576.041
"33","100mm","Water",1519,142,1446,974.129,289.405
"34","100mm","FAG",1519,670,6820,4534.765,1327.877
"35","100mm","CAG_10mm",1519,410,4040,2749.127,801.718
"36","100mm","CAG_20mm",1519,510,4915,3355.531,977.724
"37","100mm","PFA",1519,70,1599,621.967,289.227
"38","100mm","WRA_KFDN100",1519,1500,33300,12702.495,6570.837
"39","100mm","SP1_KFDNSP8G",1519,0,30500,7913.059,7988.911
"40","100mm","SP2_R1002",1519,0,42820,9898.637,12584.994
"41","125mm","Batch_size",3266,1,10,6.647,1.219
"42","125mm","Cement",3266,220,3012,2165.646,476.578
"43","125mm","Water",3266,140,1639,1017.306,197.292
"44","125mm","FAG",3266,680,8930,5027.616,948.608
"45","125mm","CAG_10mm",3266,410,4210,2952.368,540.312
"46","125mm","CAG_20mm",3266,495,7655,3611.66,665.011
"47","125mm","PFA",3266,70,1380,751.37,205.512
"48","125mm","WRA_KFDN100",3266,1000,35740,14333.861,6227.771
"49","125mm","SP1_KFDNSP8G",3266,0,32850,2107.316,6307.029
"50","125mm","SP2_R1002",3266,0,61440,26955.047,12721.874
"51","135mm","Batch_size",126,1,7.5,5.485,2.116
"52","135mm","Cement",126,270,2346,1562.675,611.66
"53","135mm","Water",126,142,1112,805.167,311.412
"54","135mm","FAG",126,845,6350,4534.683,1766.516
"55","135mm","CAG_10mm",126,435,3280,2368.492,914.925
"56","135mm","CAG_20mm",126,535,4010,2912.143,1122.19
"57","135mm","PFA",126,116,1048,673.897,268.3
"58","135mm","WRA_KFDN100",126,860,22650,10381.984,4497.711
"59","135mm","SP1_KFDNSP8G",126,0,0,0,0
"60","135mm","SP2_R1002",126,3660,46120,24728.889,10688.539
"61","150mm","Batch_size",267,1,7.5,6.485,1.413
"62","150mm","Cement",267,331,2476,2136.367,464.806
"63","150mm","Water",267,140,1563,949.753,226.569
"64","150mm","FAG",267,755,6010,4811.491,1042.711
"65","150mm","CAG_10mm",267,445,3360,2870.693,621.177
"66","150mm","CAG_20mm",267,550,4085,3519.378,763.47
"67","150mm","PFA",267,110,830,711.955,154.538
"68","150mm","WRA_KFDN100",267,2600,26500,18434.663,5512.702
"69","150mm","SP1_KFDNSP8G",267,0,11280,42.247,690.325
"70","150mm","SP2_R1002",267,0,47550,29828.086,8533.251
"71","175mm","Batch_size",522,1,7.2,6.825,0.561
"72","175mm","Cement",522,290,2646,2345.379,253.495
"73","175mm","Water",522,154,1423,1132.031,106.164
"74","175mm","FAG",522,780,6560,4973.745,466.735
"75","175mm","CAG_10mm",522,435,3155,2841.226,302.668
"76","175mm","CAG_20mm",522,540,3875,3193.42,332.348
"77","175mm","PFA",522,150,1305,1124.716,207.545
"78","175mm","WRA_KFDN100",522,1480,54500,40412.395,11578.803
"79","175mm","SP1_KFDNSP8G",522,0,32200,20139.042,9659.497
"80","175mm","SP2_R1002",522,0,45380,5927.414,13397.818
"81","200mm","Batch_size",394,3,7,6.755,0.429
"82","200mm","Cement",394,417,2650,2223.391,259.209
"83","200mm","Water",394,551,1336,1222.018,88.386
"84","200mm","FAG",394,2070,5665,4765.279,367.825
"85","200mm","CAG_10mm",394,1080,2970,2444.074,165.454
"86","200mm","CAG_20mm",394,1405,3665,3298.642,216.951
"87","200mm","PFA",394,376,1615,1379.127,220.182
"88","200mm","WRA_KFDN100",394,18050,52600,41528.046,5967.516
"89","200mm","SP1_KFDNSP8G",394,11600,42060,26769.924,4571.36
"90","200mm","SP2_R1002",394,0,0,0,0
